pathimg,pathmsk_s,pathmsk_i
data_generated-512x512/generated_00449_n02-img.jpg,data_generated-512x512/generated_00449_n02-img.jpg-msks.png,data_generated-512x512/generated_00449_n02-img.jpg-mski.png
data_generated-512x512/generated_00338_n01-img.jpg,data_generated-512x512/generated_00338_n01-img.jpg-msks.png,data_generated-512x512/generated_00338_n01-img.jpg-mski.png
data_generated-512x512/generated_00422_n01-img.jpg,data_generated-512x512/generated_00422_n01-img.jpg-msks.png,data_generated-512x512/generated_00422_n01-img.jpg-mski.png
data_generated-512x512/generated_00300_n02-img.jpg,data_generated-512x512/generated_00300_n02-img.jpg-msks.png,data_generated-512x512/generated_00300_n02-img.jpg-mski.png
data_generated-512x512/generated_00105_n02-img.jpg,data_generated-512x512/generated_00105_n02-img.jpg-msks.png,data_generated-512x512/generated_00105_n02-img.jpg-mski.png
data_generated-512x512/generated_00248_n02-img.jpg,data_generated-512x512/generated_00248_n02-img.jpg-msks.png,data_generated-512x512/generated_00248_n02-img.jpg-mski.png
data_generated-512x512/generated_00280_n02-img.jpg,data_generated-512x512/generated_00280_n02-img.jpg-msks.png,data_generated-512x512/generated_00280_n02-img.jpg-mski.png
data_generated-512x512/generated_00297_n01-img.jpg,data_generated-512x512/generated_00297_n01-img.jpg-msks.png,data_generated-512x512/generated_00297_n01-img.jpg-mski.png
data_generated-512x512/generated_00128_n02-img.jpg,data_generated-512x512/generated_00128_n02-img.jpg-msks.png,data_generated-512x512/generated_00128_n02-img.jpg-mski.png
data_generated-512x512/generated_00078_n02-img.jpg,data_generated-512x512/generated_00078_n02-img.jpg-msks.png,data_generated-512x512/generated_00078_n02-img.jpg-mski.png
data_generated-512x512/generated_00110_n02-img.jpg,data_generated-512x512/generated_00110_n02-img.jpg-msks.png,data_generated-512x512/generated_00110_n02-img.jpg-mski.png
data_generated-512x512/generated_00432_n02-img.jpg,data_generated-512x512/generated_00432_n02-img.jpg-msks.png,data_generated-512x512/generated_00432_n02-img.jpg-mski.png
data_generated-512x512/generated_00583_n02-img.jpg,data_generated-512x512/generated_00583_n02-img.jpg-msks.png,data_generated-512x512/generated_00583_n02-img.jpg-mski.png
data_generated-512x512/generated_00037_n02-img.jpg,data_generated-512x512/generated_00037_n02-img.jpg-msks.png,data_generated-512x512/generated_00037_n02-img.jpg-mski.png
data_generated-512x512/generated_00082_n02-img.jpg,data_generated-512x512/generated_00082_n02-img.jpg-msks.png,data_generated-512x512/generated_00082_n02-img.jpg-mski.png
data_generated-512x512/generated_00104_n02-img.jpg,data_generated-512x512/generated_00104_n02-img.jpg-msks.png,data_generated-512x512/generated_00104_n02-img.jpg-mski.png
data_generated-512x512/generated_00211_n02-img.jpg,data_generated-512x512/generated_00211_n02-img.jpg-msks.png,data_generated-512x512/generated_00211_n02-img.jpg-mski.png
data_generated-512x512/generated_00691_n01-img.jpg,data_generated-512x512/generated_00691_n01-img.jpg-msks.png,data_generated-512x512/generated_00691_n01-img.jpg-mski.png
data_generated-512x512/generated_00916_n01-img.jpg,data_generated-512x512/generated_00916_n01-img.jpg-msks.png,data_generated-512x512/generated_00916_n01-img.jpg-mski.png
data_generated-512x512/generated_00404_n01-img.jpg,data_generated-512x512/generated_00404_n01-img.jpg-msks.png,data_generated-512x512/generated_00404_n01-img.jpg-mski.png
data_generated-512x512/generated_00327_n01-img.jpg,data_generated-512x512/generated_00327_n01-img.jpg-msks.png,data_generated-512x512/generated_00327_n01-img.jpg-mski.png
data_generated-512x512/generated_00883_n01-img.jpg,data_generated-512x512/generated_00883_n01-img.jpg-msks.png,data_generated-512x512/generated_00883_n01-img.jpg-mski.png
data_generated-512x512/generated_00705_n02-img.jpg,data_generated-512x512/generated_00705_n02-img.jpg-msks.png,data_generated-512x512/generated_00705_n02-img.jpg-mski.png
data_generated-512x512/generated_00107_n02-img.jpg,data_generated-512x512/generated_00107_n02-img.jpg-msks.png,data_generated-512x512/generated_00107_n02-img.jpg-mski.png
data_generated-512x512/generated_00836_n02-img.jpg,data_generated-512x512/generated_00836_n02-img.jpg-msks.png,data_generated-512x512/generated_00836_n02-img.jpg-mski.png
data_generated-512x512/generated_00229_n01-img.jpg,data_generated-512x512/generated_00229_n01-img.jpg-msks.png,data_generated-512x512/generated_00229_n01-img.jpg-mski.png
data_generated-512x512/generated_00198_n02-img.jpg,data_generated-512x512/generated_00198_n02-img.jpg-msks.png,data_generated-512x512/generated_00198_n02-img.jpg-mski.png
data_generated-512x512/generated_00181_n02-img.jpg,data_generated-512x512/generated_00181_n02-img.jpg-msks.png,data_generated-512x512/generated_00181_n02-img.jpg-mski.png
data_generated-512x512/generated_00108_n01-img.jpg,data_generated-512x512/generated_00108_n01-img.jpg-msks.png,data_generated-512x512/generated_00108_n01-img.jpg-mski.png
data_generated-512x512/generated_00367_n01-img.jpg,data_generated-512x512/generated_00367_n01-img.jpg-msks.png,data_generated-512x512/generated_00367_n01-img.jpg-mski.png
data_generated-512x512/generated_00308_n02-img.jpg,data_generated-512x512/generated_00308_n02-img.jpg-msks.png,data_generated-512x512/generated_00308_n02-img.jpg-mski.png
data_generated-512x512/generated_00523_n02-img.jpg,data_generated-512x512/generated_00523_n02-img.jpg-msks.png,data_generated-512x512/generated_00523_n02-img.jpg-mski.png
data_generated-512x512/generated_00099_n02-img.jpg,data_generated-512x512/generated_00099_n02-img.jpg-msks.png,data_generated-512x512/generated_00099_n02-img.jpg-mski.png
data_generated-512x512/generated_00222_n02-img.jpg,data_generated-512x512/generated_00222_n02-img.jpg-msks.png,data_generated-512x512/generated_00222_n02-img.jpg-mski.png
data_generated-512x512/generated_00439_n01-img.jpg,data_generated-512x512/generated_00439_n01-img.jpg-msks.png,data_generated-512x512/generated_00439_n01-img.jpg-mski.png
